institute,institute_short,program,program_core,quota,seat_type,gender,opening_rank,closing_rank,degree,duration_years,degree_type,is_dual
Indian Institute of Technology Delhi,IIT Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",Mathematics and Computing,AI,OPEN,Female-only,743,1234,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",Mathematics and Computing,AI,OPEN,Gender-Neutral,325,355,"5 Years, Bachelor and Master of Technology (Dual Degree)",5,Dual Degree (B.Tech-M.Tech),yes
Indian Institute of Technology Delhi,IIT Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",Mathematics and Computing,AI,OPEN,Female-only,1447,2258,"5 Years, Bachelor and Master of Technology (Dual Degree)",5,Dual Degree (B.Tech-M.Tech),yes
Indian Institute of Technology Delhi,IIT Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Gender-Neutral,1156,1862,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Female-only,4074,5178,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Production and Industrial Engineering,AI,OPEN,Gender-Neutral,1988,3223,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Production and Industrial Engineering,AI,OPEN,Female-only,6903,7617,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Textile Technology (4 Years, Bachelor of Technology)",Textile Technology,AI,OPEN,Gender-Neutral,5015,5733,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Textile Technology (4 Years, Bachelor of Technology)",Textile Technology,AI,OPEN,Female-only,9841,11158,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Gender-Neutral,7246,8824,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Female-only,12689,16373,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Gender-Neutral,9004,10641,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Female-only,16727,17630,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Gender-Neutral,952,1775,"4 Years, Bachelor of Technology",4,B.Tech,no
